0000, 2131
044f, 8b05
0450, af02
0451, 00ae
0452, f3ae
0453, 0f02
0454, 3dd7
0455, 3a6e
0456, 8d07
0457, a969
0458, 8a02
0459, f669
045a, 63a2
045b, 0567
045c, c9d9
045d, c0de
045e, a5a7
045f, 36d9
0460, 517a
0461, b112
0462, df12
0463, b11a
0464, 8b02
0465, 8f94
0466, 5bc9
0467, 300a
0468, 5fca
0469, 4b9a
046a, ef15
046b, b0f4
046c, 4005
046d, 41f2
046e, 5072
046f, 3b0c
0470, 5115
0471, 01e8
0472, ed72
0473, 1269
0474, 26ce
0475, 8ff2
0476, f55e
0477, 74d7
0478, 23b9
0479, 9a27
047a, 6f97
047b, cc83
047c, 0c4f
047d, be02
047e, 18ae
047f, 6539
0480, 5e75
0481, c8c3
0482, 66de
0483, 0ecf
0484, 8a07
0485, 8d02
0486, 6ad7
0487, a2b5
0488, 6da9
0489, 3362
048a, f6ae
048b, 0428
048c, c2bf
048d, 0823
048e, 5478
048f, f369
0490, adf2
0491, cdf7
0492, 4abe
0493, 1929
0494, 93c2
0495, 353e
0496, 3f97
0497, 75b7
0498, 4629
0499, ed77
049a, f5f9
049b, ca57
049c, 0a52
049d, df72
049e, 70ce
049f, 8f52
04a0, 5e1a
04a1, 1353
04a2, 4de4
04a3, be75
04a4, 6a28
04a5, 5da9
04a6, 0a67
04a7, 24dd
04a8, 8d75
04a9, 2a4d
04aa, f253
04ab, 0486
04ac, b6f5
04ad, 4e04
04ae, 7428
04af, 88f5
04b0, 511a
04b1, 1569
04b2, c06d
04b3, 01ea
04b4, 6bc9
04b5, 5fa4
04b6, 8b72
04b7, 7fde
04b8, 0f04
04b9, 612e
04ba, fcb9
04bb, b002
04bc, c74c
04bd, cb80
04be, 70a9
04bf, c9db
04c0, 3e75
04c1, 7339
04c2, bfc4
04c3, 173b
04c4, 2c6f
04c5, 3d0b
04c6, 8812
04c7, 5005
04c8, 192b
04c9, eb05
04ca, 6249
04cb, b6f2
04cc, 64bf
04cd, b1f4
04ce, c56f
04cf, 6a64
04d0, ada4
04d1, dd15
04d2, b54e
04d3, 5dea
04d4, 376e
04d5, 3531
04d6, 57be
04d7, 48aa
04d8, 55b6
04d9, 4736
04da, 4543
04db, 58eb
04dc, 380f
04dd, ed12
04de, a802
04df, 3766
04e0, 5d94
04e1, c429
04e2, c901
04e3, cdf4
04e4, 8772
04e5, 5561
04e6, 37be
04e7, ce2e
04e8, a5a4
04e9, fcce
04ea, 3129
04eb, a872
04ec, 033b
04ed, c651
04ee, 0872
04ef, 50db
04f0, 3fa4
04f1, 0268
04f2, 6a9d
04f3, ced3
04f4, f16f
04f5, 3a31
04f6, 8dfd
04f7, 35d4
04f8, fca3
04f9, fd34
04fa, 8b08
04fb, 65dd
04fc, a805
04fd, 6f6d
04fe, a46f
04ff, 3763
0500, 1a8f
0501, c171
0502, 8b69
0503, 926a
0504, 729f
0505, 4f8f
0506, 2a7a
0507, 0b91
0508, eb5a
0509, 0204
050a, f4e4
050b, 2f78
050c, c484
050d, 0269
050e, 9b98
050f, a1b9
0510, 7e7e
0511, 6be3
0512, eac3
0513, e9ad
0514, 59fe
0515, 9d73
0516, 0e00
0517, baf0
0518, 871d
0519, 54a0
051a, 009e
051b, 7d90
051c, 900d
051d, b4ce
051e, 8713
051f, 6bed
0520, 1f73
0521, f69e
0522, 4d23
0523, 32cd
0524, a03e
0525, 2a75
0526, c40c
0527, acf0
0528, 3b4d
0529, aed0
052a, c992
052b, c190
052c, f87d
052d, d5c3
052e, 33fe
052f, f7eb
0530, 7a83
0531, 0100
0532, 31a7
0533, f8a1
0534, c91f
0535, efe3
0536, 8100
0537, ca46
0538, f7f4
0539, afc6
053a, 649c
053b, 6463
053c, 7fe0
053d, c4d7
053e, f618
053f, 7a75
0540, 7429
0541, 96f7
0542, 2d75
0543, 200b
0544, a2ee
0545, 9a2f
0546, 7fc6
0547, dced
0548, fbeb
0549, d570
054a, 0817
054b, 7111
054c, 99d4
054d, 1e72
054e, 439e
054f, 6744
0550, b0c5
0551, 9d13
0552, 23c8
0553, 20ca
0554, d048
0555, e323
0556, b0c0
0557, d34a
0558, 431a
0559, 102a
055a, 7515
055b, 7340
055c, 952c
055d, 1028
055e, 4318
055f, ed4c
0560, 711e
0561, 01c0
0562, 6b0e
0563, 6000
0564, 70ee
0565, 9f13
0566, 61a0
0567, 7be0
0568, 9b90
0569, 0070
056a, 6ffd
056b, 9fa3
056c, 7ffd
056d, 007e
056e, 9b9e
056f, 01ce
0570, b1e9
0571, 7171
0572, 31a2
0573, f92b
0574, c8fe
0575, efef
0576, 9ab6
0577, ca4d
0578, f73b
0579, c4dd
057a, 9fe6
057b, 94b7
057c, 7484
057d, afc2
057e, f61e
057f, 7abf
0580, d8c2
0581, 211e
0582, 96b8
0583, 9874
0584, b9e8
0585, 46c5
0586, 1920
0587, b784
0588, 96ea
0589, b9ba
058a, 1f13
058b, 174d
058c, 242b
058d, 78b7
058e, e7e7
058f, 2a4c
0590, dd1f
0591, 1dc6
0592, 8cde
0593, 62db
0594, 02f2
0595, 4548
0596, 4dc6
0597, 0c3d
0598, 8b3b
0599, 5ead
059a, 251a
059b, 2528
059c, 154a
059d, 5ea2
059e, 6bfe
059f, dd2f
05a0, 1c82
05a1, 1d0d
05a2, 67d9
05a3, 69da
05a4, 78f8
05a5, 2585
05a6, 2d70
05a7, 0611
05a8, 973a
05a9, 08a1
05aa, feed
05ab, 2e7e
05ac, 155b
05ad, 0929
05ae, 66f8
05af, ccb2
05b0, 12b7
05b1, 2d98
05b2, e32f
05b3, e2c1
05b4, 52f8
05b5, 23b8
05b6, c266
05b7, b33a
05b8, e316
05b9, 52da
05ba, ce98
05bb, 1356
05bc, 2e71
05bd, b229
05be, e3f8
05bf, 2de6
05c0, 7c47
05c1, 7da6
05c2, fc67
05c3, f071
05c4, c0e8
05c5, 9548
05c6, 6cd6
05c7, 1c86
05c8, fb91
05c9, c5b6
05ca, 6ef6
05cb, 95d8
05cc, 7e11
05cd, c5b7
05ce, 2be8
05cf, 7dc8
05d0, 1d13
05d1, cdad
05d2, f702
05d3, 2800
05d4, 19e2
05d5, 2515
05d6, fcac
05d7, c6e0
05d8, 279c
05d9, c97c
05da, f5fb
05db, fea3
05dc, ce1d
05dd, c80e
05de, 26ee
05df, ccc2
05e0, 1928
05e1, f1f8
05e2, 96b5
05e3, e970
05e4, 5853
05e5, 46c8
05e6, a8a6
05e7, 575c
05e8, e680
05e9, 086c
05ea, c4ff
05eb, c736
05ec, 2fc6
05ed, b9b5
05ee, 8793
05ef, 2a1a
05f0, 75bf
05f1, 6be7
05f2, 4a7f
05f3, f874
05f4, a887
05f5, edbf
05f6, 757a
05f7, dae6
05f8, 37e4
05f9, dfb6
05fa, 02e9
05fb, 7de6
05fc, 62b4
05fd, 1f7f
05fe, 37e7
05ff, 8b84
0600, 9ed0
0601, 5c54
0602, 0cce
0603, 7d88
0604, 9dba
0605, 9cf0
0606, 7e35
0607, 5c2b
0608, 95e8
0609, 6e4b
060a, 0e64
060b, ec35
060c, 0e67
060d, 0e4d
060e, e5bf
060f, 6c07
0610, 65d6
0611, 7740
0612, bcdf
0613, 5a42
0614, 8a2c
0615, 9c36
0616, 7547
0617, bcd4
0618, 8432
0619, e544
061a, 0920
061b, 9c37
061c, 092e
061d, 553a
061e, e425
061f, 67de
0620, 9460
0621, c340
0622, 7165
0623, ac32
0624, fd2c
0625, e190
0626, bfee
0627, babb
0628, fe32
0629, 9f8b
062a, a0c0
062b, 9a8e
062c, c2de
062d, b45c
062e, 3525
062f, 3bae
0630, d465
0631, da11
0632, f882
0633, a717
0634, 36d1
0635, 2165
0636, 1fbb
0637, 3962
0638, 3847
0639, f66b
063a, df21
063b, da8b
063c, d4a8
063d, a782
063e, 39a7
063f, 41d8
0640, 8f0a
0641, c38d
0642, 7168
0643, cd8e
0644, 3c6b
0645, e19a
0646, 7458
0647, 5a6a
0648, fe5e
0649, e45a
064a, c26d
064b, 6a58
064c, a072
064d, 0f56
064e, 35b2
064f, 3b02
0650, d80f
0651, 1bf6
0652, 2498
0653, 1bff
0654, 4bd6
0655, 4768
0656, d806
0657, 446f
0658, 42ff
0659, 216a
065a, 12aa
065b, 1756
065c, 12df
065d, 1158
065e, 42a8
065f, 4bdf
0660, 356a
0661, bc8c
0662, acb9
0663, bc82
0664, 8c6c
0665, 4c5a
0666, d589
0667, acba
0668, e585
0669, 3554
066a, 55bc
066b, 4c59
066c, 55b2
066d, d554
066e, e565
066f, 8c62
0670, 0fd8
0671, aaf0
0672, 6847
0673, 16f2
0674, 37cd
0675, 91d8
0676, b4da
0677, e9d9
0678, f812
0679, 8724
067a, d4a0
067b, 5a3a
067c, cfa5
067d, 7637
067e, 49ae
067f, 21a5
0680, a005
0681, 0696
0682, 2e53
0683, 069f
0684, e706
0685, 4b05
0686, 1260
0687, 3565
0688, 989f
0689, 4c6c
068a, 7806
068b, c350
068c, 096f
068d, cd53
068e, 8908
068f, 976f
0690, 7e68
0691, bcf0
0692, 62e7
0693, 0b12
0694, 8b2d
0695, 9c08
0696, 7e6a
0697, 82b9
0698, 8212
0699, 6bb4
069a, bed0
069b, bc5a
069c, 7ea5
069d, 0b87
069e, 82ce
069f, eca5
06a0, ffd0
06a1, 5a44
06a2, c12e
06a3, 7147
06a4, ea2a
06a5, 2130
06a6, d435
06a7, dadb
06a8, 9f48
06a9, 344b
06aa, 54d4
06ab, 3a35
06ac, 0f27
06ad, 1f3d
06ae, e429
06af, 61d7
06b0, 09d3
06b1, 7bf1
06b2, e435
06b3, 53f8
06b4, e3c1
06b5, 97d3
06b6, 792d
06b7, e4d2
06b8, e2f8
06b9, ea2b
06ba, 70c1
06bb, 773d
06bc, 00a8
06bd, 5a35
06be, e2a7
06bf, 9ba8
06c0, 5565
06c1, dc91
06c2, 8282
06c3, d397
06c4, 3301
06c5, ec65
06c6, b5bb
06c7, 82b5
06c8, 32e7
06c9, 836b
06ca, d571
06cb, bc5b
06cc, a508
06cd, b352
06ce, 3278
06cf, 4c08
06d0, 44da
06d1, aa8c
06d2, c129
06d3, da85
06d4, f16c
06d5, 213a
06d6, 1f49
06d7, aad4
06d8, 2f85
06d9, ff34
06da, cfbc
06db, 4a49
06dc, a462
06dd, a444
06de, 3465
06df, f162
06e0, 12d3
06e1, 76ed
06e2, 2e35
06e3, b793
06e4, e6bd
06e5, 4ba3
06e6, d0cd
06e7, 4522
06e8, e853
