0000, 8ee8
0120, 5238
0121, 82b8
0122, 40a8
0123, fa2c
0124, 85be
0125, 6e1d
0126, ce5f
0127, 4537
0128, da06
0129, 5b2a
012a, 91de
012b, d359
012c, e187
012d, 2b6d
012e, d342
012f, 80e8
0130, 38dc
0131, 3f1e
0132, 307e
0133, 625a
0134, b34f
0135, 562e
0136, 2a7f
0137, 3e90
0138, 670c
0139, 5830
013a, 262f
013b, b9ef
013c, dcf0
013d, 310c
013e, 5381
013f, 62dc
0140, 97de
0141, 5761
0142, 4d74
0143, ef1d
0144, 845c
0145, 1624
0146, 15e0
0147, 4492
0148, 4ace
0149, 1832
014a, e940
014b, 41f7
014c, 898a
014d, fb0e
014e, 9ca4
014f, 8db1
0150, db62
0151, fa24
0152, 9b2f
0153, 9f87
0154, 238e
0155, 37c5
0156, 04fe
0157, 5e1a
0158, 76b7
0159, 3840
015a, ae51
015b, b9ee
015c, f31c
015d, 0cdb
015e, 5db8
015f, 2a7b
0160, d23e
0161, 1833
0162, e2d3
0163, c3bd
0164, 46b0
0165, 0852
0166, 6d5c
0167, 9332
0168, 8bd9
0169, e6bd
016a, 2320
016b, 5537
016c, a632
016d, 845f
016e, a254
016f, d857
0170, 9751
0171, e72e
0172, 8d61
0173, f760
0174, 4461
0175, d440
0176, 0f31
0177, 848a
0178, d6da
0179, 4dd0
017a, e9bf
017b, d841
017c, 9940
017d, 7cda
017e, a987
017f, 4d81
0180, d432
0181, 4b0f
0182, fa09
0183, 9cab
0184, 862c
0185, 79e7
0186, e150
0187, f356
0188, 30a5
0189, e6bb
018a, fcdc
018b, 3530
018c, 1e9d
018d, 8265
018e, 64f7
018f, b912
0190, 0cdc
0191, f67e
0192, 3cc9
0193, 9e30
0194, 2831
0195, 52bf
0196, 75ef
0197, 4ff0
0198, 2a7c
0199, 835a
019a, 7f4f
019b, 2191
019c, f890
019d, 0b0c
019e, 902e
019f, 262c
01a0, 5451
01a1, 3494
01a2, 5b04
01a3, c64d
01a4, 8540
01a5, 92d4
01a6, 2a10
01a7, 85ed
01a8, 370e
01a9, e34d
01aa, bd8a
01ab, 49e0
01ac, 2ded
01ad, 31fe
01ae, f834
01af, 5bde
01b0, ae57
01b1, eca3
01b2, f6d3
01b3, e07d
01b4, 42d7
01b5, c382
01b6, 9937
01b7, f842
01b8, 5d6f
01b9, 1262
01ba, 10b0
01bb, 548c
01bc, 9ff2
01bd, e7d9
01be, 0e92
01bf, 2347
01c0, d461
01c1, 8481
01c2, 8b2e
01c3, d4d0
01c4, 85bf
01c5, d587
01c6, d6d1
01c7, 5540
01c8, b2da
01c9, 3b60
01ca, 4d8a
01cb, 6331
01cc, 6d8a
01cd, 48da
01ce, dd4e
01cf, 5b51
01d0, 67f4
01d1, 1199
01d2, 170f
01d3, 086b
01d4, 32dc
01d5, 01f7
01d6, 2b30
01d7, 185d
01d8, 8c05
01d9, 92db
01da, 68dc
01db, 8450
01dc, c256
01dd, 4ef5
01de, 079e
01df, d1f2
01e0, 310b
01e1, 9541
01e2, fd21
01e3, d647
01e4, d851
01e5, 5a78
01e6, 670e
01e7, 3f1c
01e8, 02d7
01e9, 5387
01ea, d26e
01eb, 61fe
01ec, 601c
01ed, 9867
01ee, 3918
01ef, d702
01f0, 5268
01f1, 92a8
01f2, 80b8
01f3, fe92
01f4, 4547
01f5, 1a7e
01f6, f4fc
01f7, 85eb
01f8, e621
01f9, 138b
01fa, 9157
01fb, 891c
01fc, 5137
01fd, fcd4
01fe, 3b01
01ff, 40c8
0200, 4548
0201, e5e8
0202, 9b08
0203, caeb
0204, fe37
0205, 320e
0206, 761c
0207, 5e57
0208, 97d4
0209, f19b
020a, c047
020b, 98fc
020c, b087
020d, e944
020e, 43ee
020f, 3bd8
0210, b5b8
0211, 4538
0212, 4b28
0213, 0e2a
0214, 9e6e
0215, 6542
0216, aa69
0217, 1e47
0218, 2266
0219, 902c
021a, e087
021b, c159
021c, c037
021d, 3366
021e, 6b43
021f, 5b58
0220, bfc8
0221, 8f98
0222, 8d68
0223, d42a
0224, ef2e
0225, d44d
0226, d66f
0227, ef57
0228, d66d
0229, fc2a
022a, 8d47
022b, a95f
022c, bd57
022d, 390d
022e, dc13
022f, 8d48
0230, 192c
0231, f419
0232, fdce
0233, 7a5a
0234, c94f
0235, 9ab1
0236, c201
0237, f4f0
0238, a20c
0239, 915a
023a, c7d1
023b, c3ef
023c, cdf0
023d, 137c
023e, 918f
023f, a7dc
0240, 854e
0241, 85e4
0242, 80b1
0243, 7232
0244, ee37
0245, eac4
0246, 2797
0247, 8e5c
0248, 167e
0249, e1f2
024a, bb37
024b, 1897
024c, bb92
024d, 49ee
024e, e344
024f, e02e
0250, 4972
0251, f44f
0252, fc23
0253, 6280
0254, c981
0255, 52b5
0256, bace
0257, f41a
0258, 7a2b
0259, 9180
025a, 26b1
025b, 731e
025c, dc1a
025d, e327
025e, 51e5
025f, 26b2
0260, ca4e
0261, f9f3
0262, 17a3
0263, c102
0264, 1a20
0265, a192
0266, 0c8c
0267, f9f2
0268, ec6f
0269, 1a7d
026a, c1d7
026b, 9f5c
026c, a712
026d, 9f5f
026e, cae4
026f, a137
0270, b5b1
0271, 853e
0272, e0de
0273, 2560
0274, ee61
0275, ae80
0276, 6221
0277, ee40
0278, 0ada
0279, 1060
027a, 8b5c
027b, 0141
027c, bb40
027d, 53da
027e, db89
027f, e081
0280, 2a14
0281, f99f
0282, 360f
0283, 732b
0284, 1a2c
0285, b317
0286, 6d50
0287, f99d
0288, 5d65
0289, eacb
028a, 232c
028b, 9f50
028c, a65d
028d, 5f95
028e, 7a1e
028f, 2342
0290, 832c
0291, 3ee9
0292, fb79
0293, b630
0294, 7131
0295, 9729
0296, b701
0297, 1590
0298, 767c
0299, e930
029a, b2d1
029b, 7891
029c, 2090
029d, 897c
029e, 5849
029f, 7a2c
02a0, ef81
02a1, 4f81
02a2, 3c61
02a3, c7f2
02a4, ef8a
02a5, f7a4
02a6, c2f7
02a7, 4f8a
02a8, f2ae
02a9, 191d
02aa, 7c5c
02ab, 1310
02ac, 2c5c
02ad, 131e
02ae, 1914
02af, 9c61
02b0, 268e
02b1, 9333
02b2, 9aa3
02b3, 7862
02b4, 1767
02b5, 79e2
02b6, 6b47
02b7, 9112
02b8, 90d9
02b9, e702
02ba, 2867
02bb, 9e47
02bc, 0242
02bd, 5539
02be, 7684
02bf, c987
02c0, cfb1
02c1, ef51
02c2, ecb1
02c3, cfd0
02c4, 1fbf
02c5, af47
02c6, a721
02c7, 9f8a
02c8, c7da
02c9, fcd0
02ca, 1c5c
02cb, a931
02cc, 7c8a
02cd, f9da
02ce, ac49
02cf, fc51
02d0, b644
02d1, 3399
02d2, 4209
02d3, 797b
02d4, 97dc
02d5, 6897
02d6, a030
02d7, 1196
02d8, 4bd5
02d9, 970b
02da, 792c
02db, 1e30
02dc, aa96
02dd, 3535
02de, b6ee
02df, 6832
02e0, 43bb
02e1, 9e43
02e2, 9024
02e3, a740
02e4, a15e
02e5, 3628
02e6, 767e
02e7, 951c
02e8, 076b
02e9, f947
02ea, cabe
02eb, 089e
02ec, 0b1a
02ed, e9bb
02ee, 3845
02ef, d26b
02f0, 8fe8
02f1, 8f48
02f2, edc8
02f3, c682
02f4, ef87
02f5, 4671
02f6, 2a1c
02f7, 8f47
02f8, 1a24
02f9, 19e2
02fa, bd87
02fb, 131c
02fc, bd1b
02fd, 1341
02fe, 19e1
02ff, 8db8
0300, 3ff8
0301, da54
0302, 6952
0303, 9558
0304, 3dd1
0305, 9001
0306, 60f1
0307, 63fb
0308, a557
0309, 9dd8
030a, 5531
030b, dffc
030c, 6698
030d, ad3e
030e, ff91
030f, 3008
0310, f5dc
0311, 025f
0312, 0830
0313, 3919
0314, d00c
0315, 9629
0316, 2f79
0317, 6190
0318, ed4f
0319, 5a79
031a, 3f07
031b, 40ef
031c, d7f9
031d, c52f
031e, 938f
031f, 0ddc
0320, 0ad2
0321, 0e36
0322, 735a
0323, 9d79
0324, dc77
0325, e2bf
0326, 16ef
0327, 29f0
0328, 1b31
0329, 47c9
032a, a60c
032b, 4c9e
032c, 0490
032d, ea43
032e, 9025
032f, ab2c
0330, 6008
0331, 052a
0332, fd2a
0333, 4118
0334, b70d
0335, 3f1d
0336, c46f
0337, c887
0338, 93de
0339, 4778
033a, 410d
033b, eb5f
033c, c24e
033d, 9657
033e, 601d
033f, 6ff8
0340, 3332
0341, 9dab
0342, 57bb
0343, 8b0f
0344, 3aa5
0345, 9ee7
0346, ce56
0347, df5d
0348, 9b2c
0349, fa0f
034a, 4b65
034b, a330
034c, 789d
034d, fad2
034e, 53f7
034f, 5e12
0350, 6662
0351, a986
0352, c440
0353, fa2f
0354, 6bb7
0355, 4cc5
0356, 9dfe
0357, be1a
0358, f281
0359, 8b2f
035a, 0ad7
035b, 57ee
035c, a31a
035d, 9054
035e, 36b5
035f, dc72
0360, a637
0361, 2fb6
0362, 40bd
0363, 4e33
0364, ebd9
0365, 3952
0366, 0251
0367, 6132
0368, edb0
0369, 8cd3
036a, e45f
036b, 0837
036c, d734
036d, c520
036e, da5b
036f, 9357
0370, a954
0371, 9c66
0372, 16d0
0373, e728
0374, a6da
0375, 1840
0376, 9c34
0377, 048a
0378, 146e
0379, ed61
037a, 7cdd
037b, 1641
037c, 094b
037d, 19b3
037e, 9f86
037f, a48e
0380, 90d8
0381, 731d
0382, 2e32
0383, 3061
0384, 37ce
0385, 3724
0386, 73e0
0387, 249b
0388, 745c
0389, 3278
038a, 9d0e
038b, 2ef7
038c, 298a
038d, 7946
038e, 9da4
038f, 92b1
0390, 6338
0391, fa2d
0392, eb2a
0393, 4bb8
0394, da0d
0395, 8e1d
0396, e753
0397, c337
0398, 98be
0399, 4aa8
039a, bb6d
039b, fd5f
039c, ce8b
039d, 9fd8
039e, 334d
039f, 6ee8
03a0, 60f2
03a1, 696b
03a2, 5adb
03a3, 119f
03a4, 4705
03a5, 9ff7
03a6, c239
03a7, be5d
03a8, fddc
03a9, e70f
03aa, 41f5
03ab, c850
03ac, 2c53
03ad, 05dc
03ae, 0097
03af, 3ff2
03b0, 9f5b
03b1, 167d
03b2, 4c6b
03b3, e2a3
03b4, 9d6f
03b5, 318b
03b6, 0e3b
03b7, 2942
03b8, 1bd7
03b9, 30d3
03ba, e7d5
03bb, 738c
03bc, 04f2
03bd, eab6
03be, f592
03bf, f847
03c0, ad6e
03c1, a8d0
03c2, 9260
03c3, e481
03c4, 72da
03c5, 9380
03c6, a8d1
03c7, 0547
03c8, 15bf
03c9, eb2e
03ca, 18da
03cb, 9231
03cc, 0d81
03cd, 1d80
03ce, a640
03cf, a551
03d0, 9351
03d1, 2043
03d2, bf4d
03d3, 3398
03d4, 5a0e
03d5, 5ad4
03d6, 2019
03d7, 25ed
03d8, 7540
03d9, 3604
03da, 39fe
03db, bfe0
03dc, 2de5
03dd, 7d8f
03de, 3934
03df, 96de
03e0, 3f02
03e1, ad49
03e2, a580
03e3, 554f
03e4, 6dd7
03e5, 3075
03e6, 690e
03e7, df1a
03e8, 9651
03e9, 3d2f
03ea, 5567
03eb, 5afe
03ec, 601f
03ed, a361
03ee, 3f15
03ef, 6002
03f0, 3668
03f1, 0592
03f2, d182
03f3, 9aa8
03f4, 5b21
03f5, fc71
03f6, a3fc
03f7, 68eb
03f8, a447
03f9, 9bb8
03fa, fad1
03fb, 6e1c
03fc, 6f37
03fd, a95b
03fe, 5601
03ff, 3cc8
0400, 4483
0401, c473
0402, fde3
0403, ee76
0404, 90b9
0405, dd7a
0406, 7be9
0407, 5089
0408, af8d
0409, 0076
040a, ee89
040b, 05e0
040c, beb9
040d, cc83
040e, 447a
040f, 3db3
0410, e4e3
0411, 7404
0412, ede3
0413, 3e27
0414, 3029
0415, 0d02
0416, 2039
0417, 4049
0418, 049d
0419, d0d7
041a, 4e49
041b, de30
041c, 2ede
041d, 7d93
041e, 9472
041f, 9d73
0420, 8e45
0421, bed8
0422, ebf8
0423, 547b
0424, 8cb9
0425, 0bcb
0426, bd95
0427, 8c5e
0428, 75f6
0429, 6cb7
042a, 84e5
042b, bf50
042c, b408
042d, b035
042e, 5e2b
042f, ebc5
0430, bb1a
0431, 9b12
0432, 95a4
0433, 33a0
0434, 42ce
0435, 65f1
0436, cdf8
0437, 12f5
0438, 96cd
0439, 22a0
043a, 43fe
043b, c41b
043c, a3a5
043d, 78cd
043e, 6bc1
043f, 551a
0440, bc16
0441, 8c46
0442, e4c5
0443, e90c
0444, 8664
0445, b419
0446, 7651
0447, e694
0448, ec26
0449, b60c
044a, 8994
044b, 7952
044c, b964
044d, 7420
044e, 7cc9
044f, 8446
0450, 1ee9
0451, deb8
0452, fbe8
0453, f422
0454, 1cc3
0455, db77
0456, 2213
0457, 3c41
0458, c8e6
0459, acc2
045a, 1443
045b, 214a
045c, d4c4
045d, 2785
045e, fe77
045f, 4b79
0460, cc86
0461, 1d96
0462, f405
0463, 15a2
0464, 1724
0465, a3e5
0466, a743
0467, f614
0468, fc66
0469, cbc2
046a, 1934
046b, a942
046c, a8c3
046d, cf66
046e, c275
046f, ff86
0470, bc86
0471, 8c5b
0472, e408
0473, 59d6
0474, e6a8
0475, 04e8
0476, 6745
0477, e618
0478, ed06
0479, 06a6
047a, 8938
047b, 0816
047c, b928
047d, bf66
047e, 6cb8
047f, e4e6
0480, e44f
0481, bfd3
0482, edf3
0483, 487d
0484, 1b7f
0485, 72cd
0486, 209f
0487, 405f
0488, 7f3d
0489, 27ba
048a, 4eef
048b, c59a
048c, 2503
048d, 7d3f
048e, 812d
048f, ec23
0490, cc1a
0491, 3c42
0492, f4c4
0493, f900
0494, 460e
0495, d411
0496, 2058
0497, f695
0498, 12cd
0499, d600
049a, 199e
049b, c59b
049c, d965
049d, 212d
049e, acc1
049f, 441a
04a0, bb86
04a1, ebe6
04a2, 9575
04a3, 430c
04a4, 42b4
04a5, 65e9
04a6, ca54
04a7, 12e4
04a8, 90b6
04a9, 227c
04aa, 4354
04ab, c182
04ac, c304
04ad, 7eb6
04ae, bb79
04af, 5586
04b0, cb8a
04b1, 405d
04b2, 1503
04b3, 8fd2
04b4, ead4
04b5, c8e3
04b6, 024f
04b7, 9213
04b8, 106d
04b9, 7da2
04ba, e331
04bb, 014d
04bc, 6123
04bd, c56a
04be, 27b3
04bf, 1e8d
04c0, cb16
04c1, 1bfb
04c2, 15c5
04c3, 930d
04c4, e274
04c5, a5f8
04c6, 02e3
04c7, 9294
04c8, fba6
04c9, 720d
04ca, e394
04cb, 03e2
04cc, 7374
04cd, c5a6
04ce, abc8
04cf, f516
04d0, 1e43
04d1, c5a3
04d2, fbf3
04d3, 41b0
04d4, fd79
04d5, a6cd
04d6, cd99
04d7, 3c59
04d8, ae3d
04d9, dab0
04da, 14e9
04db, a490
04dc, 2f69
04dd, c033
04de, 18cd
04df, f023
04e0, 4419
04e1, a4c8
04e2, fdf8
04e3, 9ec2
04e4, 90c3
04e5, dda7
04e6, b74f
04e7, 5031
04e8, a316
04e9, 00a2
04ea, ee13
04eb, 694a
04ec, 6e21
04ed, c215
04ee, 34c7
04ef, 3dc9
04f0, 8ee3
04f1, beb3
04f2, ebe3
04f3, e426
04f4, ec29
04f5, bb7a
04f6, bc19
04f7, 8c49
04f8, 7e8d
04f9, 7cc6
04fa, 8449
04fb, 7410
04fc, b4c5
04fd, 7b8f
04fe, ee7a
04ff, 8bb3
0500, 5533
0501, 0695
0502, 7896
0503, 0096
0504, ee3a
0505, 8b09
0506, 05aa
0507, 8760
0508, 7e3d
0509, ee96
050a, 003a
050b, ebaa
050c, 6960
050d, 0033
050e, 5599
050f, 8bd3
0510, ff66
0511, a745
0512, a94b
0513, c6f7
0514, c499
0515, 1728
0516, 1de7
0517, f6c7
0518, fc58
0519, 1817
051a, ad09
051b, f40e
051c, a8c0
051d, cfb8
051e, 1938
051f, cc66
0520, f56a
0521, 0289
0522, 0186
0523, ba97
0524, a59f
0525, ea68
0526, 40ec
0527, 9270
0528, 1084
0529, e397
052a, d00f
052b, 1571
052c, 6170
052d, c5b1
052e, e35e
052f, a06d
0530, ff6a
0531, cdfe
0532, c417
0533, cc40
0534, af51
0535, 1c2e
0536, f2ec
0537, fdc0
0538, 129f
0539, ff40
053a, acb1
053b, f301
053c, c4c0
053d, a30f
053e, 1f3e
053f, cc6a
0540, 3559
0541, 6693
0542, 695a
0543, 0b82
0544, fe87
0545, 9003
0546, de77
0547, 57bc
0548, a590
0549, 9ee2
054a, db87
054b, fb77
054c, 6872
054d, d099
054e, 9553
054f, f069
0550, 5fa6
0551, cd31
0552, cf32
0553, 2d3c
0554, 0f39
0555, 4dd4
0556, 5af0
0557, 1dac
0558, 9a35
0559, 1f3c
055a, 6dd9
055b, 93a9
055c, 2fac
055d, 03d9
055e, 4ff4
055f, 6dd6
0560, 939f
0561, 2041
0562, de3c
0563, d74c
0564, 939c
0565, 47df
0566, 740c
0567, 402a
0568, 049c
0569, 393c
056a, 02ec
056b, ed7a
056c, 2edc
056d, 7de1
056e, 393f
056f, e20f
0570, 5faa
0571, 6719
0572, 0810
0573, b710
0574, 0411
0575, e6ae
0576, 8cfc
0577, e6a0
0578, ed11
0579, e810
057a, 6cc1
057b, e4a1
057c, b9a0
057d, bfc1
057e, 89fe
057f, 0daa
0580, 9359
0581, 2084
0582, c5e2
0583, d69d
0584, 9390
0585, f603
0586, bf77
0587, 40bc
0588, 7f8b
0589, 395a
058a, 6a90
058b, ed77
058c, 2572
058d, 7d8e
058e, 3953
058f, 9a65
0590, 556a
0591, 209e
0592, c597
0593, 2b80
0594, 0e81
0595, 106e
0596, 57ec
0597, 1b70
0598, 969f
0599, 1e80
059a, 6bb1
059b, 9871
059c, 2e70
059d, 690f
059e, 455e
059f, 006a
05a0, ff39
05a1, da5f
05a2, 215a
05a3, ace2
05a4, ff37
05a5, 1c03
05a6, a4c7
05a7, 3a6c
05a8, c4f0
05a9, ff92
05aa, ac47
05ab, fda7
05ac, d1bc
05ad, adf9
05ae, ff93
05af, 1cd9
05b0, 59f9
05b1, bd14
05b2, bf4c
05b3, 6212
05b4, 9817
05b5, 5adf
05b6, bea7
05b7, 8cdc
05b8, 7517
05b9, 514c
05ba, 6717
05bb, eba7
05bc, b4a2
05bd, b01e
05be, 53f3
05bf, 96a9
05c0, f5aa
05c1, 02ef
05c2, 03ec
05c3, 72ea
05c4, a5f1
05c5, e271
05c6, 1bfc
05c7, 920a
05c8, fbf1
05c9, 93ea
05ca, abc1
05cb, 15cf
05cc, 730a
05cd, c5c1
05ce, e391
05cf, cbaa
05d0, f935
05d1, cde8
05d2, a49b
05d3, da50
05d4, 18f0
05d5, 1205
05d6, c5c7
05d7, 3c67
05d8, ae3b
05d9, 4150
05da, a6f0
05db, fba7
05dc, 2fb7
05dd, c048
05de, f395
05df, 17d5
05e0, 5566
05e1, 7034
05e2, 7e42
05e3, 703c
05e4, 7e59
05e5, 8b24
05e6, 9690
05e7, ebcc
05e8, e755
05e9, ee4c
05ea, 0069
05eb, e809
05ec, 75ac
05ed, 0965
05ee, 8534
05ef, bb66
05f0, 3ff3
05f1, 6a35
05f2, 03f6
05f3, 0d36
05f4, ff3a
05f5, 5da9
05f6, dfaa
05f7, 5ad0
05f8, af3d
05f9, 9ff6
05fa, dd3a
05fb, fdaa
05fc, 63a6
05fd, ad3f
05fe, 9ff9
05ff, 3dd3
0600, 3ef3
0601, 316d
0602, 676d
0603, f466
0604, 3b6f
0605, 0caa
0606, 5e99
0607, 62a6
0608, 9b6f
0609, ab6d
060a, 3459
060b, 5ca9
060c, 5806
060d, f45f
060e, feaa
060f, 5ca3
0610, acf9
0611, 9f0c
0612, 00a7
0613, 7523
0614, a43d
0615, 10e9
0616, f545
0617, 0d6b
0618, 90c9
0619, 1d43
061a, 0b33
061b, 9db5
061c, f5db
061d, 9fef
061e, cfc9
061f, ae90
0620, d890
0621, 66a7
0622, 0c7c
0623, 1a13
0624, 753d
0625, 1cfe
0626, 9a75
0627, ab2b
0628, ec7f
0629, eb34
062a, a1fd
062b, 1b25
062c, 0a0b
062d, 56c9
062e, 46e9
062f, cff0
0630, a7f0
0631, b023
0632, 2f43
0633, 910c
0634, 90ce
0635, 7fe9
0636, 3f48
0637, d76b
0638, 313d
0639, 07a7
063a, 9fe1
063b, 30b8
063c, 31db
063d, 673d
063e, c0c9
063f, 9190
0640, 385d
0641, 04f5
0642, b955
0643, 6dcc
0644, 37c3
0645, cf99
0646, 90b4
0647, dcbd
0648, e550
0649, a7ca
064a, 5d24
064b, f2bf
064c, 0672
064d, 9136
064e, d89f
064f, 4f96
0650, 5ba9
0651, c676
0652, 2cdb
0653, 7a76
0654, 16d5
0655, 7c0c
0656, 3cdf
0657, bba2
0658, 4ad5
0659, cbdb
065a, 9c05
065b, 86a3
065c, 2a2a
065d, fb05
065e, b6c0
065f, ea0f
0660, 6e06
0661, aa79
0662, a9ef
0663, af71
0664, 69e2
0665, 91a9
0666, 4e14
0667, 7ccc
0668, 39ed
0669, 90e1
066a, dae4
066b, 8cc4
066c, 1ecc
066d, dae6
066e, 9790
066f, 5ca6
0670, 32aa
0671, 639e
0672, ae1e
0673, 3b9e
0674, a110
0675, eea1
0676, 8bce
0677, 0a0a
0678, 1e10
0679, 1a1e
067a, d5e7
067b, ea01
067c, bba0
067d, 53e0
067e, 43cf
067f, e0aa
0680, 685d
0681, 6dca
0682, c7ca
0683, 9cf5
0684, b550
0685, 1a9f
0686, f0bf
0687, c2b6
0688, 47c3
0689, e655
068a, 0130
068b, 42b9
068c, a07d
068d, 5d23
068e, 5b9f
068f, 2f9d
0690, 5490
0691, c313
0692, be34
0693, 6ba7
0694, 9c7f
0695, cefe
0696, f678
0697, 2a2b
0698, 893d
0699, 7a7c
069a, 56ce
069b, 3c25
069c, ab0b
069d, f4fd
069e, b3e9
069f, 19f0
06a0, dc96
06a1, 6765
06a2, 6135
06a3, f9cc
06a4, 5ac4
06a5, ae9f
06a6, f381
06a7, 60b2
06a8, 9430
06a9, 0acc
06aa, 3914
06ab, 96b1
06ac, 3fb2
06ad, 0b50
06ae, ac09
06af, 3e9d
06b0, 52d6
06b1, d5ef
06b2, c1e9
06b3, 56e1
06b4, d1ed
06b5, e909
06b6, 8224
06b7, c0ac
06b8, 41e6
06b9, fcef
06ba, 6582
06bb, 40a4
06bc, b2cc
06bd, 358d
06be, 54a9
06bf, 8006
06c0, 0eaa
06c1, a0ae
06c2, 0f9e
06c3, a1ae
06c4, a9e7
06c5, 1fcf
06c6, e1e1
06c7, 77a0
06c8, 9fe0
06c9, f79e
06ca, aa1e
06cb, e7ce
06cc, e10a
06cd, a010
06ce, e01a
06cf, fcaa
06d0, dc93
06d1, f9ca
06d2, 0aca
06d3, 0865
06d4, 6430
06d5, 979f
06d6, 3389
06d7, a6bd
06d8, 5ac3
06d9, 9235
06da, 6b59
06db, 36bf
06dc, f3b6
06dd, 3913
06de, a10f
06df, 6e9d
06e0, 919f
06e1, 4f26
06e2, 20b6
06e3, 1526
06e4, 9265
06e5, 70c0
06e6, 58f3
06e7, 2dcd
06e8, 3765
06e9, 7db6
06ea, f835
06eb, 32a3
06ec, 85cd
06ed, 3135
06ee, ef7a
06ef, 97a9
06f0, 52d3
06f1, 0b0d
